,Palavra,Frequência
0,give,57
1,context,4
2,find,48
3,image,3
4,hot,26
5,apenas,29
6,treino,2358
7,usando,13
8,gostosa,17
9,monty,3
10,ape,10
11,watch,113
12,mega,5
13,10,139
14,sol,9
15,edition,5
16,ok,28
17,shreddedapes,27
18,fam,11
19,'ve,48
20,never,79
21,seen,12
22,many,43
23,awesome,19
24,deals,17
25,going,88
26,drop,17
27,impromptu,1
28,update,13
29,high,66
30,ranking,7
31,picks,2
32,fave,3
33,whey,2675
34,sagc,7
35,foreign,10
36,types,18
37,hookah,9
38,pipes,9
39,say,138
40,ay,76
41,use,88
42,autocorrect,1
43,change,17
44,way,106
45,smelling,1
46,brother,7
47,bottle,13
48,protein,1322
49,powder,245
50,n't,175
51,drink,39
52,gente,62
53,jogo,132
54,senior,3
55,coach,72
56,kevin,7
57,healthy,48
58,snackin,1
59,acf,1
60,angelinocrossfitfamily,1
61,healthyfood,2
62,coachkevinrocks,1
63,sweet,14
64,goodnutrition,1
65,fitness,458
66,angelino,2
67,crossfit,3403
68,gotinha,1
69,saudade,6
70,dms,6
71,acabei,15
72,acabou,39
73,comigo,22
74,103,2
75,kayla,1
76,0,22
77,fofura,3
78,jaqueline,2
79,murilo,4
80,levaram,2
81,filho,11
82,arthur,4
83,assistir,10
84,seleção,56
85,masculina,6
86,aconteceu,13
87,sesi,2
88,vila,7
89,leopoldina,1
90,paulo,36
91,via,156
92,instagram,34
93,stories,21
94,impressionante,2
95,suplementos,90
96,durando,1
97,mês,12
98,comecei,14
99,esconder,4
100,aqui,85
101,casa,73
102,started,44
103,following,10
104,'m,86
105,scared,5
106,videos2watchnow,64
107,supplement,89
108,review,78
109,first,158
110,impressions,25
111,labrada,28
112,nutrition,208
113,video,106
114,//youtu.be/mrckglt5ytw,11
115,supplements,63
116,like,519
117,share,173
118,comment,167
119,oil,20
120,magnates,1
121,nigeria,8
122,attending,1
123,kryptonite,1
124,clambakes,1
125,gatherings,1
126,combine,4
127,menu,2
128,readings,1
129,run,80
130,snoop,1
131,dog,11
132,pegar,7
133,agora,118
134,skip,8
135,hoy…,1
136,pero,52
137,comemos,1
138,bien,19
139,od,2
140,today,224
141,sweated,2
142,resort/birthday,1
143,drinks,9
144,coco,3
145,brabo,3
146,muscleups,1
147,bard,1
148,hard,38
149,shit,48
150,lol,48
151,..,87
152,bars,28
153,turn,9
154,boy,25
155,man,84
156,shits,1
157,rough,5
158,fucc,1
159,yes,17
160,pocket,3
161,//giltedgoose.com/shop/yoga-pants,2
162,yoga,54
163,yogapants,2
164,namaste,1
165,athleisure,2
166,running,62
167,seguinte,6
168,família,13
169,último,85
170,jabá,1
171,tô,93
172,indo,21
173,pro,124
174,faltam,4
175,pessoas,21
176,chegarmos,1
177,400mil,1
178,pprt,3
179,inscrito,3
180,confere,6
181,vídeo,33
182,larga,5
183,inscrição,2
184,//youtu.be/vugvgmzfj0u,1
185,wednesday,13
186,wod,86
187,get,343
188,bodyarmorcrossfit,1
189,sanantonio,2
190,downtown,3
191,texas,11
192,body,95
193,armor,8
194,//instagram.com/p/ce2agd0s1vl/,1
195,igshid=ytgzyjq4zty=…,39
196,joke,16
197,posted,88
198,photo,95
199,bc,55
200,//instagram.com/p/ce2asm8voz2/,1
201,top,87
202,calorie,16
203,burners,8
204,sprints,7
205,jumproping,7
206,mma,23
207,boxing,19
208,cycling,25
209,circuittraining,7
210,must,43
211,mad,15
212,throw,10
213,class,66
214,tomar,46
215,creatina,53
216,faz,76
217,pouco,34
218,tempo,56
219,né,19
220,ainda,71
