twitter_text_data_PT;count
treino;2103
	;441
hoje;417
crossfit;205
academia;183
dia;166
whey;136
q;128
jogo;120
fazer;112
contra;111
treino	;109
agora;104
primeiro;102
ser;101
vou;100
vai;98
pós;98
amanhã;93
antes;92
tô;91
tá;91
crossfit	;89
pro;85
ter;85
último;83
ct;82
pr;82
bem;81
aqui;81
faz;71
ainda;70
desta;66
at;65
bom;63
semana;63
to;62
veja;61
após;60
todo;60
time;60
casa;60
sobre;58
2;58
pq;56
proteína;55
corinthians;55
nesta;54
durante;54
tempo;53
p;53
dias;53
melhor;53
gente;52
seleção;52
tarde;51
pode;50
copa;50
aí;50
perna;49
jogotreino;48
novo;48
n;47
1;46
mundo;46
ficar;45
assim;44
ver;44
ir;44
cara;44
tava;44
flamengo;44
hj;44
+;43
fiz;43
fez;43
dar;42
tão;41
aberto;41
brasil;41
lá;41
sábado;41
treinar;40
vida;40
elenco;40
preparação;40
quase;40
vamos;40
tudo;40
nunca;39
vez;39
fotos;39
trabalho;39
final;39
coisa;38
santos;37
3;37
dois;37
palmeiras;37
camisa;37
tambm;36
fazendo;36
meses;36
tcnico;36
foto;36
todos;36
livre;34
feliz;34
deus;34
meio;33
equipe;33
quero;33
/;33
nao;33
nada;32
paulo;32
pouco;32
segundo;31
deve;31
peito;31
vídeo;30
campo;30
porque;30
algum;30
vasco;30
ta;30
ontem;29
hora;29
sempre;29
10;29
tomar;28
deu;28
primeira;28
grupo;28
cada;28
jogador;28
jogar;28
volta;28
sub20;28
apenas;28
lucas;28
confira;27
5;27
dá;27
dieta;27
acho;27
jogadores;27
imagens;27
duas;26
mal;26
golaço;26
enquanto;26
estar;26
4;26
nova;25
ano;25
queria;25
outro;25
foco;25
sextafeira;25
anos;25
noite;25
segundafeira;25
toda;24
nesse;24
minutos;24
sei;24
simplesmente;24
creatina;24
partida;24
menos;24
suplementos;24
pedro;24
via;24
muita;23
fico;23
corpo;23
tanto;23
mim;23
atividade;23
boa;23
realizado;23
vem;23
bora;23
domingo;23
sexta;23
comer;23
hoje	;23
fim;23
cheguei;23
manhã;22
carlos;22
ficou;22
fica;22
mt;22
meia;22
terçafeira;22
pensando;22
onde;22
grêmio;22
amo;22
x;21
segunda;21
treinando;21
disse;21
atletas;21
estreia;21
gol;21
vezes;21
pessoas;21
lado;21
atacante;21
aula;21
temporada;21
maior;20
igual;20
ia;20
pois;20
indo;20
desde;20
bruno;20
sentindo;20
•;20
pago;20
brasileira;20
sair;20
lesão;20
rei;19
sai;19
treinos;19
povo;19
gostoso;19
voltar;19
futebol;19
total;19
desse;19
instagram;18
próximo;18
quartafeira;18
chegar;18
falta;18
arena;18
quintafeira;18
gols;18
galera;18
pernas;18
falando;18
parece;18
acabou;18
comigo;18
corrida;18
torcida;17
sendo;17
tático;17
festa;17
todas;17
participou;17
titular;17
cima;17
tipo;17
pel;17
sabe;17
gosto;17
duelo;17
conta;17
voltei;17
20;17
outros;17
bola;17
imposto;17
três;17
vi;16
faço;16
coisas;16
forte;16
reapresentação;16
tv;16
viagem;16
direito;16
causa;16
6;16
banho;16
feito;16
arrascaeta;16
real;16
protein;16
sim;16
consegui;16
estádio;16
fácil;16
começou;16
alm;16
dando;16
falou;16
alguns;16
tomei;15
coxa;15
precisa;15
parte;15
clube;15
completo;15
frente;15
pessoa;15
oficial;15
atividades;15
homem;15
quer;15
uns;15
vc;15
vivo;15
bolsonaro;15
momento;15
chegou;15
segue;15
entrevista;15
algo;15
ai;15
demais;15
vontade;15
acabei;15
grande;15
amigos;15
base;15
odeio;15
>;15
jade;15
correndo;14
logo;14
comprei;14
sinto;14
agr;14
corinthians	;14
gustavo;14
live;14
posso;14
viu;14
r$;14
junto;14
quinta;14
2023;14
comr;14
semanas;14
cruzeiro;14
última;14
entrar;14
realizou;14
chega;14
comecei;14
próxima;14
enfrentar;14
diz;14
algumas;13
ficam;13
goleiro;13
0;13
preciso;13
renato;13
lugar;13
pedir;13
uniforme;13
diante;13
fc	;13
rio;13
galo;13
santa;13
ningum;13
olha;13
resultado;13
personal;13
chão;13
braço;13
pump;13
cupom;13
thiago;13
coletiva;13
começar;13
neste;12
qualquer;12
vidal;12
shape;12
nenhum;12
bunda;12
perto;12
musculação;12
pesado;12
tomando;12
(;12
fluminense;12
fiquei;12
passa;12
começa;12
passou;12
aconteceu;12
então;12
cabeça;12
eh;12
amor;12
chuva;12
reservas;12
gp;12
mano;12
goiás;12
gostosa;12
costas;12
vitor;12
passando;12
melhores;12
willian;12
fase;12
dizer;12
so;12
dessa;12
ja;12
força;12
]	;12
física;12
deixar;12
nessa;12
vendo;11
terça;11
caras;11
pai;11
treina;11
cidade;11
passar;11
horas;11
partir;11
8;11
hj	;11
tricolor;11
leite;11
academia	;11
vê;11
liga;11
prtemporada;11
pereira;11
mês;11
cardio;11
saindo;11
usando;11
vão;11
rodrigo;11
concluído;11
zagueiro;11
fone;11
atrás;11
canal;11
box;11
direto;11
descanso;11
c;11
deixa;11
moacyr;11
realiza;11
vitória;11
vídeos;11
evolução;11
presença;11
falar;11
bastidores;11
ouvir;11
presidente;11
assista;11
morrendo;11
sensação;11
achei;11
mesma;11
filho;11
achando;11
[;11
faltar;11
dentro;11
pre;11
gabigol;11
preço;11
monte;10
escalação;10
presente;10
tite;10
área;10
físico;10
bonito;10
ali;10
outra;10
colocar;10
liberado;10
bate;10
menina;10
júnior;10
novos;10
leão;10
professor;10
mulher;10
super;10
nkunku;10
claro;10
tirar;10
pagar;10
whey	;10
felipe;10
pior;10
saúde;10
frança;10
dor;10
exercício;10
triste;10
início;10
luan;10
yuri;10
venceu;10
carro;10
titulares;10
ombro;10
assistir;10
família;10
virar;10
ribeiro;10
#inter;10
mãe;10
dm;10
comanda;10
saber;10
)	;10
dicas;10
transição;10
isso	;10
ceará;10
cruz;10
barbosa;10
parabns;10
chegando;10
acompanhar;10
fato;10
finalizado;10
parada;10
nome;10
daniel;10
verdade;9
geral;9
espanha;9
fome;9
15;9
atenção;9
pessoal;9
vida	;9
30;9
começando;9
brasileiro;9
música;9
exames;9
finalmente;9
bastante;9
treinador;9
assim	;9
#flamengo;9
pos;9
roupa;9
caminho;9
resto;9
disso;9
leia;9
comendo;9
público;9
goleiros;9
novidade;9
doce;9
atleta;9
único;9
sentir;9
100%;9
correr;9
desfalques;9
tbm;9
voltando;9
–;9
juntos;9
conseguir;9
impostos;9
alimentação;9
marcelo;9
nada	;9
espelho;9
zerou;9
importante;9
saiba;9
promoção;9
período;9
saiu;9
jr;9
peguei;9
2022;9
azul;9
passo;9
vale;9
trocar;9
registros;9
saí;9
treinou;9
breve;9
certeza;9
leve;9
augusto;9
detalhes;9
adidas;9
milhões;9
cu;9
rua;9
kkkkk;9
trabalhar;9
estudo;9
neymar;9
campeão;9
glúteo;9
fit;9
fazem;9
direita;9
srie;9
la;9
decisão;9
possível;9
stories;9
ruim;9
falhar;8
7;8
jogos;8
papo;8
vcs;8
continua;8
melhorar;8
definir;8
atlticomg;8
água;8
parar;8
cedo;8
resenha;8
lisca;8
alberto;8
gramado;8
faça;8
favor;8
top;8
alan;8
prova;8
orlando;8
dorival;8
notícia;8
apoio;8
assistindo;8
peso;8
saio;8
usar;8
acesse;8
richarlison;8
teste;8
imagem;8
everton;8
ferreira;8
fiel;8
marcou;8
lateral;8
casa	;8
entrada;8
virou;8
energia;8
lembrar;8
mostra;8
obrigado;8
proteina;8
imagina;8
d;8
rotina;8
ódio;8
absurdo;8
mundial;8
alves;8
quanto;8
fizeram;8
malhar;8
vim;8
vamo;8
chama;8
entra;8
história;8
veio;8
nenhuma;8
toma;8
encarar;8
querendo;8
leclerc;8
mente;8
cabelo;8
álbum;8
miguel;8
abel;8
publica;8
ovo;8
senti;8
vini;8
fala;8
comi;8
#futebolnaespn	;8
ritmo;8
imprensa;8
olho;8
perde;8
bater;8
ajudar;8
visando;8
pronto;8
posterior;8
pontos;8
jogou;8
oq;8
especial;8
clima;8
rodrygo;8
tratamento;8
consigo;8
competição;8
voltou;7
reais;7
exatamente;7
local;7
terminou;7
quatro;7
“;7
pular;7
rodada;7
horrível;7
simples;7
participa;7
janeiro;7
fortaleza;7
informações;7
luiz;7
diego;7
ganhou;7
boas;7
definido;7
guilherme;7
#avantipalestrinas	;7
lula;7
maia;7
sequência;7
rafael;7
deixei;7
informa;7
pena;7
coritiba;7
melo;7
comandou;7
apresentação;7
meteu;7
maycon;7
gata;7
forma;7
serve;7
completamente;7
parceiro;7
aniversário;7
covid;7
classificação;7
porra;7
banana;7
amanha;7
prof;7
mds;7
dinheiro;7
vergonha;7
rolou;7
bolas;7
pó;7
confronto;7
acontece;7
treinamento;7
#avantipalestra	;7
terminar;7
certo;7
the;7
desconto;7
);7
15h;7
posta;7
menino;7
motivo;7
parque;7
16h;7
frango;7
mil;7
crianças;7
acaba;7
feminino;7
joga;7
tornozelo;7
9;7
instrutor;7
gabriel;7
stories	;7
sofreu;7
olhando;7
sabor;7
#futebolnaespn;7
ate;7
caralho;7
passei;7
reels;7
porm;7
12;7
estarei;7
reforço;7
postando;7
loja;7
amiga;7
perdi;7
pediu;7
fará;7
disposição;7
paquetá;7
paz;7
vila;7
moraes;7
matheus;7
meninas;6
poderia;6
ft;6
11;6
insta;6
palavras;6
virose;6
fbpa;6
gomes;6
chorar;6
brasileirão;6
transmissão;6
rodrigues;6
lateralesquerdo;6
legal;6
lindo;6
totalmente;6
amo	;6
masculina;6
toca;6
informação;6
amigo;6
pista;6
pegar;6
entregue;6
saudável;6
retorno;6
#espnnoqatar	;6
problema;6
vspera;6
comentários;6
linha;6
viver;6
quiser;6
mostrar;6
entrou;6
coach;6
comissão;6
9h;6
joelho;6
terceiro;6
espero;6
inteiro;6
recuperação;6
imperdível;6
agora	;6
tcnica;6
sport;6
tomo;6
natural;6
amrica;6
times;6
fechado;6
apronto;6
pizza;6
natal;6
movimentos;6
on;6
sido;6
reduzido;6
ok;6
botafogo;6
estrear;6
horário;6
focado;6
z;6
psg;6
apesar;6
rogrio;6
alguma;6
off;6
ar;6
bonita;6
boca;6
#f1;6
novamente;6
ideia;6
etc;6
campeonato;6
#vamogalo;6
períodos;6
pegando;6
alimentares;6
entrei;6
kkkkkkk;6
1°;6
chocolate;6
comida;6
desempenho;6
belo;6
existe;6
delegação;6
@brasileirao;6
juros;6
#cearásc;6
@geglobo	;6
ataque;6
profissional;6
acha;6
rapaz;6
tocando;6
poca;6
respondeu;6
volante;6
têm;6
joão;6
metade;6
mudar;6
entorse;6
evento;6
meninos;6
perna	;6
seguinte;6
inicia;6
realmente;6
criar;6
ganhar;6
irá;6
deveria;6
pedindo;6
sucesso;6
treinei;6
athletico;6
poder;6
guerra;6
obrigada;6
sextou;6
abates;6
bom	;6
22/23;6
mais	;6
dps;6
vs;6
cross;6
maromba;6
reserva;6
amistoso;6
saudade;6
quarta;6
patrick;6
roger;6
(em;6
ge	;6
neo;6
perfeito;6
cheio;6
começo;6
2x;6
treinaram;6
química;6
bahia;6
única;6
jogo	;6
online;5
dores;5
acabar;5
craque;5
vendido;5
marcados;5
tao;5
disponível;5
allianz;5
gordura;5
próprio;5
200;5
principalmente;5
apareceu;5
=;5
ajuda;5
plano;5
aguento;5
libertadores;5
umas;5
últimas;5
conversa;5
programação;5
façam;5
#sampaiocorrea;5
pau;5
twitter;5
principal;5
finalizações;5
sentiu;5
“eu;5
confere;5
qualify;5
jeito;5
balbuena;5
charles;5
ceni;5
reforços;5
cuidar;5
covid19	;5
ronald;5
seguir;5
exemplo;5
raul;5
elevação;5
perder;5
mulheres;5
finalização;5
barbosa	;5
folga;5
paulista;5
fotinha;5
leg;5
leonardo;5
srio;5
11h;5
mesmo	;5
panturrilha;5
fonte;5
exercícios;5
falei;5
#boliviaquerida;5
100;5
//;5
participaram;5
ec	;5
compre;5
dormir;5
ed;5
bateu;5
últimos;5
ham;5
ouvindo;5
verde;5
contrato;5
movimentação;5
sessão;5
tendinite;5
firme;5
horários;5
estudos;5
gostaria;5
link;5
coca;5
desculpa;5
