UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
kamii,@kami_whey,2022-06-15T22:28:20.000Z,"kamii
@kami_whey
·
Jun 15, 2022","i will not give context, i just find this image so hot",,1,,3,['https://pbs.twimg.com/media/FVU7ZmGWAAIqepU?format=jpg&name=small'],https://twitter.com/kami_whey/status/1537200359919198208
tia feri.,@feristhii,2022-06-15T21:29:34.000Z,"tia feri.
@feristhii
·
Jun 15, 2022",Apenas um treino usando uma gostosa,,3,58,869,['https://pbs.twimg.com/media/FVUuIaeWUAA13vp?format=jpg&name=small'],https://twitter.com/feristhii/status/1537185573580210177
Monty Riches,@MontyRiches,2022-06-15T22:34:27.000Z,"Monty Riches
@MontyRiches
·
Jun 15, 2022","MONTY'S APE WATCH  Mega ""UNDER 10 $SOL""  Edition!!  Ok 
@ShreddedApes
 fam, I've never before seen so many awesome deals going all at once on ME so had to drop an impromptu Ape Watch update! These are some of my high ranking picks...Which ape is your fave??  #WHEY #SAGC",🚨 🦧 🚨 💪 🦍,4,3,19,['https://pbs.twimg.com/media/FVU8-5cXsAEsOqc?format=jpg&name=900x900'],https://twitter.com/MontyRiches/status/1537201901556596738
Walk Like an Egyptian Bot,@egyptian_bot,2022-06-15T22:10:49.000Z,"Walk Like an Egyptian Bot
@egyptian_bot
·
Jun 15, 2022","Foreign types with the hookah pipes say ay oh whey oh, ay oh whey oh",,,,,[],https://twitter.com/egyptian_bot/status/1537195951428886528
thomas the gain,@thomasphall,2022-06-15T20:49:42.000Z,"thomas the gain
@thomasphall
·
Jun 15, 2022",I use to have my autocorrect change “way” to “whey” ,🚂 😂,2,,,[],https://twitter.com/thomasphall/status/1537175540465123329
June Bug,@Jiddy7,2022-06-15T22:15:33.000Z,"June Bug
@Jiddy7
·
Jun 15, 2022",smelling my brother's bottle of whey protein powder so I don't have to drink it,,,,,[],https://twitter.com/Jiddy7/status/1537197145387937793
engual o Bruno,@offBruno0,2022-06-15T23:05:58.000Z,"engual o Bruno
@offBruno0
·
Jun 15, 2022",Tinha mais gente no treino que no jogo.,,4,3,70,[],https://twitter.com/offBruno0/status/1537209831693729792
Coach Karlos,@angelino_xfit,2022-06-15T21:55:01.000Z,"Coach Karlos
@angelino_xfit
·
Jun 15, 2022",Senior Coach Kevin’s Healthy Snackin’ #acf #angelinocrossfitfamily #healthyfood #coachkevinrocks #sweet #goodnutrition #fitness @ Angelino CrossFit,,,,,['https://pbs.twimg.com/card_img/1669151943674179585/Hz0fqgLE?format=jpg&name=240x240'],https://twitter.com/angelino_xfit/status/1537191974482194432
mage,@magestosoh,2022-06-15T20:40:13.000Z,"mage
@magestosoh
·
Jun 15, 2022",a gotinha era whey,,,,1,"['https://pbs.twimg.com/profile_images/1642966741138415647/fHdgQUGl_mini.jpg', 'https://pbs.twimg.com/media/FVUPRnsXoAQlcGy?format=jpg&name=small']",https://twitter.com/magestosoh/status/1537173153851523072
brena,@brenaena,2022-06-15T21:38:12.000Z,"brena
@brenaena
·
Jun 15, 2022",saudade do crossfit dms,,,,1,[],https://twitter.com/brenaena/status/1537187743281065984
