,Palavra,Frequência
0,give,57
1,context,4
2,find,48
3,image,3
4,hot,26
5,apenas,29
6,treino,2358
7,usando,13
8,gostosa,17
9,monty,3
10,'s,335
11,ape,10
12,watch,113
13,mega,5
14,``,295
15,10,139
16,sol,9
17,'',365
18,edition,5
19,ok,28
20,shreddedapes,27
21,fam,11
22,'ve,48
23,never,79
24,seen,12
25,many,43
26,awesome,19
27,deals,17
28,going,88
29,drop,17
30,impromptu,1
31,update,13
32,high,66
33,ranking,7
34,picks,2
35,...,327
36,fave,3
37,whey,2675
38,sagc,7
39,foreign,10
40,types,18
41,hookah,9
42,pipes,9
43,say,138
44,ay,76
45,oh,224
46,use,88
47,autocorrect,1
48,change,17
49,“,291
50,way,106
51,”,266
52,smelling,1
53,brother,7
54,bottle,13
55,protein,1322
56,powder,245
57,n't,175
58,drink,39
59,gente,62
60,jogo,132
61,senior,3
62,coach,72
63,kevin,7
64,’,974
65,healthy,48
66,snackin,1
67,acf,1
68,angelinocrossfitfamily,1
69,healthyfood,2
70,coachkevinrocks,1
71,sweet,14
72,goodnutrition,1
73,fitness,458
74,angelino,2
75,crossfit,3403
76,gotinha,1
77,saudade,6
78,dms,6
79,hoje,461
80,acabei,15
81,acabou,39
82,comigo,22
83,103,2
84,kayla,1
85,0,22
86,fofura,3
87,jaqueline,2
88,murilo,4
89,levaram,2
90,filho,11
91,arthur,4
92,assistir,10
93,seleção,56
94,masculina,6
95,aconteceu,13
96,sesi,2
97,vila,7
98,leopoldina,1
99,paulo,36
100,via,156
101,instagram,34
102,stories,21
103,impressionante,2
104,suplementos,90
105,durando,1
106,mês,12
107,comecei,14
108,esconder,4
109,aqui,85
110,casa,73
111,started,44
112,following,10
113,'m,86
114,scared,5
115,videos2watchnow,64
116,100,214
117,supplement,89
118,review,78
119,first,158
120,impressions,25
121,labrada,28
122,nutrition,208
123,video,106
124,https,1431
125,//youtu.be/mrckglt5ytw,11
126,supplements,63
127,like,519
128,share,173
129,comment,167
130,oil,20
131,magnates,1
132,nigeria,8
133,attending,1
134,kryptonite,1
135,clambakes,1
136,gatherings,1
137,combine,4
138,menu,2
139,readings,1
140,run,80
141,snoop,1
142,dog,11
143,pegar,7
144,agora,118
145,skip,8
146,hoy…,1
147,pero,52
148,comemos,1
149,bien,19
150,od,2
151,today,224
152,sweated,2
153,resort/birthday,1
154,drinks,9
155,coco,3
156,brabo,3
157,muscleups,1
158,bard,1
159,hard,38
160,shit,48
161,lol,48
162,..,87
163,bars,28
164,turn,9
165,boy,25
166,man,84
167,shits,1
168,rough,5
169,fucc,1
170,yes,17
171,pocket,3
172,//giltedgoose.com/shop/yoga-pants,2
173,yoga,54
174,yogapants,2
175,namaste,1
176,athleisure,2
177,running,62
178,seguinte,6
179,família,13
180,último,85
181,jabá,1
182,tô,93
183,indo,21
184,pro,124
185,faltam,4
186,2,246
187,pessoas,21
188,pra,401
189,chegarmos,1
190,400mil,1
191,pprt,3
192,inscrito,3
193,confere,6
194,vídeo,33
195,larga,5
196,inscrição,2
197,//youtu.be/vugvgmzfj0u,1
198,wednesday,13
199,wod,86
200,get,343
201,bodyarmorcrossfit,1
202,sanantonio,2
203,downtown,3
204,texas,11
205,body,95
206,armor,8
207,//instagram.com/p/ce2agd0s1vl/,1
208,igshid=ytgzyjq4zty=…,39
209,joke,16
210,posted,88
211,photo,95
212,bc,55
213,//instagram.com/p/ce2asm8voz2/,1
214,top,87
215,calorie,16
216,burners,8
217,sprints,7
218,jumproping,7
219,mma,23
220,boxing,19
221,cycling,25
