words,count
crossfit,3403
whey,2675
treino,2358
protein,1322
como,519
capacidade física,458
academia,388
obter,343
malhação,320
Proteína,290
pó,245
time,238
hoje,224
nutrição,208
Instituições académicas,202
novo,199
formação,197
isolar,194
pessoas,191
Dey,191
dia,180
ação,173
3,172
comente,167
un,164
primeiras,158
hábito atlético,156
via ,156
-nos/a nós/ nós,153
NEA,151
leite,149
lado de trás,148
5,147
sabe,141
10,139
1.,138
"dizer, digo, dizem, dizemos",138
assegure-se,137
"possuiu, possuímos, possuíram",136
ajuste,134
"<g id=""Bold"">2022</g>",133
chocolate,133
Jogo,132
melhor,131
livre,129
músculo,128
ver,126
.,124
del,123
amor,122
